agency,wordcount,shall,must,may not,required,prohibited,restrictions
Department Of The Interior,50307,488,159,9,102,31,789
Department Of The Navy,333139,1698,512,74,486,56,2826
Department Of The Navy Acquisition Regulations,3329,22,4,0,5,0,31
Department Of The Treasury,63839,336,104,19,128,23,610
Department Of The Treasury Employee Rules Of Conduct,258499,1409,620,90,371,61,2551
Department Of Transportation,29815,326,58,1,42,4,431
Department Of Treasury,213,1,0,0,0,0,1
Department Of Veterans Affairs,1265754,4475,3576,581,1520,123,10275
"Drug Enforcement Administration, Department Of Justice",154874,1281,646,46,356,6,2335
East-West Foreign Trade Board,192,1,0,0,0,0,1
"Economic Development Administration, Department Of Commerce",37418,183,159,8,39,3,392
"Economic Research Service, Department Of Agriculture",2136,6,0,0,0,0,6
Election Assistance Commission,21922,192,27,10,30,6,265
Emergency Oil And Gas Guaranteed Loan Board,14015,135,19,4,35,6,199
Emergency Steel Guarantee Loan Board,13795,127,19,11,31,6,194
"Employee Benefits Security Administration, Department Of Labor",348978,1605,702,104,639,134,3184
"Employees' Compensation Appeals Board, Department Of Labor",3917,11,14,1,1,0,27
"Employment And Training Administration, Department Of Labor",605893,2044,4136,207,1317,59,7763
Environmental Protection Agency,15754383,72674,63579,2568,28276,880,167977
Environmental Protection Agency And Department Of Defense; Uniform National Discharge Standards For Vessels Of The Armed Forces,3937,0,12,2,5,6,25
Environmental Protection Agency And Department Of Justice,2496,22,0,0,2,2,26
Equal Employment Opportunity Commission,214127,1175,331,112,296,62,1976
"Executive Office For Immigration Review, Department Of Justice",207995,2145,504,62,290,14,3015
Executive Office Of The President,4331,45,6,8,6,2,67
Export-Import Bank Of The United States,32789,419,65,15,63,8,570
Farm Credit Administration,244125,1423,1202,92,429,35,3181
Farm Credit System Insurance Corporation,24135,262,9,2,33,18,324
"Farm Service Agency, Department Of Agriculture",256045,431,1290,85,381,20,2207
Federal Acquisition Regulation,993203,8319,1236,145,1948,88,11736
"Federal Aviation Administration, Department Of Transportation",1558142,2401,15067,941,4322,146,22877
Federal Claims Collection Standards (Department Of The Treasury - Department Of Justice),11237,72,10,3,21,6,112
Federal Communications Commission,2234803,14483,9162,678,3442,282,28047
"Federal Crop Insurance Corporation, Department Of Agriculture",318652,99,1020,54,336,10,1519
Federal Deposit Insurance Corporation,855014,2999,3110,272,1287,114,7782
Federal Election Commission,232300,2109,421,57,363,76,3026
"Federal Emergency Management Agency, Department Of Homeland Security",359101,1992,886,85,451,32,3446
Federal Energy Regulatory Commission,1324,7,7,0,5,15,34
"Federal Energy Regulatory Commission, Department Of Energy",716703,5068,3645,128,867,34,9742
Federal Financial Institutions Examination Council,22002,186,30,2,26,3,247
Federal Financing Bank,2860,24,2,0,0,0,26
"Federal Highway Administration, Department Of Transportation",331031,2405,831,89,534,33,3892
Federal Housing Finance Agency,257461,1950,377,80,420,40,2867
Federal Housing Finance Board,12828,125,2,2,20,0,149
Federal Labor Relations Authority,1587,11,1,0,5,3,20
"Federal Labor Relations Authority, General Counsel Of The Federal Labor Relations Authority And Federal Service Impasses Panel",79798,615,234,34,93,23,999
"Federal Law Enforcement Training Center, Department Of The Treasury",884,8,2,0,1,11,22
Federal Management Regulation,219926,104,1873,62,319,27,2385
Federal Maritime Commission,177489,1423,483,61,238,26,2231
Federal Mediation And Conciliation Service,69762,409,227,29,135,21,821
Federal Mine Safety And Health Review Commission,33366,471,45,13,32,10,571
"Federal Motor Carrier Safety Administration, Department Of Transportation",407085,1814,2727,96,899,83,5619
"Federal Prison Industries, Inc., Department Of Justice",11609,128,29,11,6,7,181
Federal Property Management Regulations,107985,948,79,32,206,33,1298
